true_label_id,true_label,pred_label_id,pred_label,count
0,Complain,12,Inform,13
12,Inform,0,Complain,13
1,Praise,0,Complain,11
10,Comfort,0,Complain,10
13,Advise,0,Complain,9
15,Introduce,12,Inform,7
4,Criticize,0,Complain,6
16,Leave,0,Complain,6
0,Complain,1,Praise,5
1,Praise,12,Inform,5
2,Apologise,12,Inform,5
4,Criticize,12,Inform,5
7,Flaunt,0,Complain,5
8,Joke,12,Inform,5
12,Inform,14,Arrange,5
13,Advise,12,Inform,5
0,Complain,4,Criticize,4
1,Praise,2,Apologise,4
2,Apologise,0,Complain,4
3,Thank,12,Inform,4
12,Inform,11,Care,4
12,Inform,13,Advise,4
14,Arrange,13,Advise,4
17,Prevent,0,Complain,4
0,Complain,14,Arrange,3
0,Complain,17,Prevent,3
1,Praise,15,Introduce,3
3,Thank,0,Complain,3
4,Criticize,1,Praise,3
5,Agree,3,Thank,3
5,Agree,16,Leave,3
6,Taunt,0,Complain,3
6,Taunt,11,Care,3
8,Joke,0,Complain,3
9,Oppose,13,Advise,3
11,Care,12,Inform,3
12,Inform,15,Introduce,3
13,Advise,4,Criticize,3
14,Arrange,0,Complain,3
14,Arrange,1,Praise,3
15,Introduce,1,Praise,3
17,Prevent,13,Advise,3
19,Ask for help,0,Complain,3
0,Complain,3,Thank,2
0,Complain,13,Advise,2
0,Complain,15,Introduce,2
1,Praise,4,Criticize,2
1,Praise,18,Greet,2
2,Apologise,1,Praise,2
2,Apologise,15,Introduce,2
3,Thank,1,Praise,2
3,Thank,18,Greet,2
5,Agree,2,Apologise,2
5,Agree,10,Comfort,2
6,Taunt,12,Inform,2
7,Flaunt,3,Thank,2
9,Oppose,0,Complain,2
10,Comfort,11,Care,2
11,Care,1,Praise,2
11,Care,3,Thank,2
11,Care,5,Agree,2
11,Care,13,Advise,2
11,Care,16,Leave,2
11,Care,18,Greet,2
12,Inform,1,Praise,2
12,Inform,2,Apologise,2
13,Advise,10,Comfort,2
14,Arrange,11,Care,2
14,Arrange,12,Inform,2
14,Arrange,15,Introduce,2
15,Introduce,0,Complain,2
16,Leave,12,Inform,2
18,Greet,12,Inform,2
19,Ask for help,12,Inform,2
19,Ask for help,13,Advise,2
0,Complain,2,Apologise,1
0,Complain,5,Agree,1
0,Complain,8,Joke,1
0,Complain,10,Comfort,1
0,Complain,11,Care,1
0,Complain,16,Leave,1
1,Praise,3,Thank,1
1,Praise,5,Agree,1
1,Praise,9,Oppose,1
1,Praise,10,Comfort,1
1,Praise,11,Care,1
1,Praise,13,Advise,1
1,Praise,16,Leave,1
1,Praise,17,Prevent,1
2,Apologise,4,Criticize,1
2,Apologise,10,Comfort,1
3,Thank,2,Apologise,1
3,Thank,17,Prevent,1
4,Criticize,3,Thank,1
4,Criticize,10,Comfort,1
4,Criticize,13,Advise,1
4,Criticize,14,Arrange,1
4,Criticize,16,Leave,1
4,Criticize,19,Ask for help,1
5,Agree,0,Complain,1
6,Taunt,2,Apologise,1
6,Taunt,4,Criticize,1
6,Taunt,16,Leave,1
6,Taunt,17,Prevent,1
7,Flaunt,1,Praise,1
7,Flaunt,2,Apologise,1
7,Flaunt,13,Advise,1
8,Joke,1,Praise,1
8,Joke,4,Criticize,1
9,Oppose,1,Praise,1
9,Oppose,12,Inform,1
9,Oppose,14,Arrange,1
9,Oppose,17,Prevent,1
10,Comfort,3,Thank,1
10,Comfort,9,Oppose,1
10,Comfort,12,Inform,1
10,Comfort,13,Advise,1
10,Comfort,16,Leave,1
11,Care,2,Apologise,1
11,Care,15,Introduce,1
12,Inform,3,Thank,1
12,Inform,9,Oppose,1
12,Inform,17,Prevent,1
13,Advise,7,Flaunt,1
13,Advise,15,Introduce,1
13,Advise,16,Leave,1
14,Arrange,2,Apologise,1
14,Arrange,4,Criticize,1
14,Arrange,10,Comfort,1
14,Arrange,16,Leave,1
15,Introduce,2,Apologise,1
15,Introduce,5,Agree,1
15,Introduce,6,Taunt,1
15,Introduce,10,Comfort,1
15,Introduce,11,Care,1
16,Leave,3,Thank,1
16,Leave,5,Agree,1
16,Leave,6,Taunt,1
16,Leave,11,Care,1
16,Leave,13,Advise,1
16,Leave,15,Introduce,1
16,Leave,18,Greet,1
16,Leave,19,Ask for help,1
17,Prevent,10,Comfort,1
17,Prevent,11,Care,1
17,Prevent,14,Arrange,1
17,Prevent,18,Greet,1
17,Prevent,19,Ask for help,1
18,Greet,0,Complain,1
18,Greet,1,Praise,1
18,Greet,2,Apologise,1
18,Greet,10,Comfort,1
18,Greet,16,Leave,1
18,Greet,19,Ask for help,1
19,Ask for help,8,Joke,1
19,Ask for help,11,Care,1
19,Ask for help,14,Arrange,1
