true_label_id,true_label,pred_label_id,pred_label,count
0,Complain,12,Inform,9
1,Praise,0,Complain,9
15,Introduce,12,Inform,9
4,Criticize,0,Complain,8
0,Complain,4,Criticize,7
13,Advise,0,Complain,7
0,Complain,1,Praise,6
5,Agree,3,Thank,6
12,Inform,0,Complain,6
16,Leave,0,Complain,6
3,Thank,2,Apologise,5
12,Inform,15,Introduce,5
14,Arrange,12,Inform,5
2,Apologise,12,Inform,4
4,Criticize,12,Inform,4
8,Joke,1,Praise,4
10,Comfort,1,Praise,4
11,Care,1,Praise,4
12,Inform,10,Comfort,4
12,Inform,14,Arrange,4
13,Advise,12,Inform,4
14,Arrange,0,Complain,4
14,Arrange,13,Advise,4
16,Leave,1,Praise,4
18,Greet,12,Inform,4
0,Complain,13,Advise,3
1,Praise,4,Criticize,3
2,Apologise,1,Praise,3
2,Apologise,15,Introduce,3
3,Thank,4,Criticize,3
3,Thank,5,Agree,3
3,Thank,12,Inform,3
4,Criticize,1,Praise,3
12,Inform,1,Praise,3
15,Introduce,0,Complain,3
15,Introduce,1,Praise,3
17,Prevent,0,Complain,3
0,Complain,6,Taunt,2
0,Complain,7,Flaunt,2
0,Complain,14,Arrange,2
0,Complain,16,Leave,2
1,Praise,2,Apologise,2
1,Praise,3,Thank,2
1,Praise,12,Inform,2
1,Praise,14,Arrange,2
1,Praise,15,Introduce,2
2,Apologise,0,Complain,2
4,Criticize,11,Care,2
4,Criticize,13,Advise,2
6,Taunt,0,Complain,2
6,Taunt,12,Inform,2
7,Flaunt,0,Complain,2
8,Joke,0,Complain,2
8,Joke,12,Inform,2
9,Oppose,16,Leave,2
10,Comfort,0,Complain,2
10,Comfort,9,Oppose,2
10,Comfort,11,Care,2
10,Comfort,13,Advise,2
11,Care,0,Complain,2
11,Care,10,Comfort,2
11,Care,18,Greet,2
12,Inform,4,Criticize,2
12,Inform,6,Taunt,2
12,Inform,11,Care,2
12,Inform,13,Advise,2
12,Inform,17,Prevent,2
13,Advise,1,Praise,2
13,Advise,10,Comfort,2
13,Advise,11,Care,2
14,Arrange,1,Praise,2
14,Arrange,4,Criticize,2
15,Introduce,2,Apologise,2
16,Leave,14,Arrange,2
17,Prevent,5,Agree,2
17,Prevent,12,Inform,2
19,Ask for help,0,Complain,2
19,Ask for help,13,Advise,2
19,Ask for help,16,Leave,2
0,Complain,2,Apologise,1
0,Complain,3,Thank,1
0,Complain,5,Agree,1
0,Complain,9,Oppose,1
0,Complain,15,Introduce,1
0,Complain,17,Prevent,1
0,Complain,19,Ask for help,1
1,Praise,7,Flaunt,1
1,Praise,10,Comfort,1
2,Apologise,13,Advise,1
2,Apologise,14,Arrange,1
2,Apologise,16,Leave,1
3,Thank,11,Care,1
3,Thank,15,Introduce,1
3,Thank,17,Prevent,1
4,Criticize,3,Thank,1
4,Criticize,9,Oppose,1
4,Criticize,10,Comfort,1
5,Agree,1,Praise,1
5,Agree,2,Apologise,1
5,Agree,10,Comfort,1
5,Agree,12,Inform,1
5,Agree,16,Leave,1
5,Agree,17,Prevent,1
6,Taunt,3,Thank,1
6,Taunt,9,Oppose,1
6,Taunt,11,Care,1
6,Taunt,13,Advise,1
6,Taunt,15,Introduce,1
6,Taunt,17,Prevent,1
7,Flaunt,1,Praise,1
7,Flaunt,2,Apologise,1
7,Flaunt,4,Criticize,1
7,Flaunt,9,Oppose,1
7,Flaunt,10,Comfort,1
7,Flaunt,11,Care,1
7,Flaunt,12,Inform,1
7,Flaunt,14,Arrange,1
8,Joke,7,Flaunt,1
8,Joke,14,Arrange,1
9,Oppose,0,Complain,1
9,Oppose,1,Praise,1
9,Oppose,6,Taunt,1
9,Oppose,10,Comfort,1
9,Oppose,12,Inform,1
9,Oppose,13,Advise,1
9,Oppose,14,Arrange,1
10,Comfort,2,Apologise,1
10,Comfort,3,Thank,1
10,Comfort,5,Agree,1
10,Comfort,12,Inform,1
10,Comfort,17,Prevent,1
11,Care,2,Apologise,1
11,Care,3,Thank,1
11,Care,4,Criticize,1
11,Care,12,Inform,1
11,Care,13,Advise,1
11,Care,14,Arrange,1
11,Care,15,Introduce,1
11,Care,17,Prevent,1
12,Inform,2,Apologise,1
12,Inform,9,Oppose,1
13,Advise,2,Apologise,1
13,Advise,3,Thank,1
13,Advise,4,Criticize,1
13,Advise,14,Arrange,1
14,Arrange,2,Apologise,1
14,Arrange,10,Comfort,1
14,Arrange,15,Introduce,1
14,Arrange,17,Prevent,1
15,Introduce,5,Agree,1
15,Introduce,10,Comfort,1
15,Introduce,13,Advise,1
15,Introduce,14,Arrange,1
16,Leave,5,Agree,1
16,Leave,9,Oppose,1
16,Leave,13,Advise,1
16,Leave,17,Prevent,1
17,Prevent,1,Praise,1
17,Prevent,4,Criticize,1
17,Prevent,8,Joke,1
17,Prevent,13,Advise,1
17,Prevent,14,Arrange,1
17,Prevent,16,Leave,1
17,Prevent,18,Greet,1
18,Greet,1,Praise,1
18,Greet,4,Criticize,1
18,Greet,5,Agree,1
18,Greet,11,Care,1
18,Greet,15,Introduce,1
19,Ask for help,1,Praise,1
19,Ask for help,4,Criticize,1
19,Ask for help,11,Care,1
19,Ask for help,12,Inform,1
