true_label_id,true_label,pred_label_id,pred_label,count
0,Complain,4,Criticize,7
0,Complain,12,Inform,5
12,Inform,13,Advise,5
12,Inform,14,Arrange,5
12,Inform,0,Complain,4
0,Complain,9,Oppose,3
0,Complain,13,Advise,3
1,Praise,5,Agree,3
4,Criticize,0,Complain,3
6,Taunt,8,Joke,3
7,Flaunt,0,Complain,3
9,Oppose,15,Introduce,3
12,Inform,15,Introduce,3
15,Introduce,12,Inform,3
0,Complain,6,Taunt,2
1,Praise,12,Inform,2
4,Criticize,11,Care,2
4,Criticize,13,Advise,2
6,Taunt,4,Criticize,2
8,Joke,7,Flaunt,2
8,Joke,13,Advise,2
10,Comfort,0,Complain,2
12,Inform,1,Praise,2
12,Inform,11,Care,2
12,Inform,16,Leave,2
14,Arrange,19,Ask for help,2
16,Leave,12,Inform,2
18,Greet,12,Inform,2
19,Ask for help,16,Leave,2
0,Complain,1,Praise,1
0,Complain,10,Comfort,1
1,Praise,3,Thank,1
1,Praise,6,Taunt,1
1,Praise,13,Advise,1
2,Apologise,0,Complain,1
3,Thank,1,Praise,1
4,Criticize,6,Taunt,1
4,Criticize,12,Inform,1
4,Criticize,14,Arrange,1
4,Criticize,17,Prevent,1
6,Taunt,0,Complain,1
6,Taunt,1,Praise,1
6,Taunt,12,Inform,1
6,Taunt,14,Arrange,1
7,Flaunt,8,Joke,1
7,Flaunt,9,Oppose,1
8,Joke,0,Complain,1
8,Joke,16,Leave,1
9,Oppose,0,Complain,1
9,Oppose,4,Criticize,1
9,Oppose,7,Flaunt,1
9,Oppose,17,Prevent,1
10,Comfort,6,Taunt,1
10,Comfort,9,Oppose,1
10,Comfort,16,Leave,1
13,Advise,6,Taunt,1
13,Advise,10,Comfort,1
13,Advise,11,Care,1
13,Advise,14,Arrange,1
13,Advise,16,Leave,1
14,Arrange,4,Criticize,1
14,Arrange,6,Taunt,1
14,Arrange,13,Advise,1
14,Arrange,16,Leave,1
15,Introduce,7,Flaunt,1
15,Introduce,8,Joke,1
15,Introduce,13,Advise,1
15,Introduce,14,Arrange,1
16,Leave,0,Complain,1
16,Leave,14,Arrange,1
17,Prevent,9,Oppose,1
17,Prevent,10,Comfort,1
17,Prevent,14,Arrange,1
19,Ask for help,11,Care,1
19,Ask for help,13,Advise,1
19,Ask for help,14,Arrange,1
