true_label_id,true_label,pred_label_id,pred_label,count
1,Praise,0,Complain,17
12,Inform,0,Complain,13
16,Leave,0,Complain,12
1,Praise,12,Inform,11
13,Advise,0,Complain,11
2,Apologise,12,Inform,10
4,Criticize,12,Inform,10
2,Apologise,0,Complain,9
15,Introduce,0,Complain,9
4,Criticize,0,Complain,8
15,Introduce,12,Inform,8
11,Care,0,Complain,7
14,Arrange,12,Inform,7
0,Complain,1,Praise,6
0,Complain,12,Inform,6
3,Thank,0,Complain,6
6,Taunt,0,Complain,6
7,Flaunt,12,Inform,6
11,Care,12,Inform,6
3,Thank,12,Inform,5
8,Joke,12,Inform,5
10,Comfort,0,Complain,5
10,Comfort,1,Praise,5
14,Arrange,0,Complain,5
19,Ask for help,12,Inform,5
8,Joke,0,Complain,4
12,Inform,2,Apologise,4
17,Prevent,12,Inform,4
18,Greet,12,Inform,4
0,Complain,4,Criticize,3
2,Apologise,3,Thank,3
6,Taunt,12,Inform,3
9,Oppose,1,Praise,3
9,Oppose,12,Inform,3
10,Comfort,3,Thank,3
11,Care,2,Apologise,3
12,Inform,3,Thank,3
13,Advise,1,Praise,3
13,Advise,12,Inform,3
13,Advise,14,Arrange,3
14,Arrange,2,Apologise,3
14,Arrange,13,Advise,3
17,Prevent,0,Complain,3
0,Complain,13,Advise,2
1,Praise,2,Apologise,2
1,Praise,3,Thank,2
3,Thank,1,Praise,2
3,Thank,5,Agree,2
3,Thank,16,Leave,2
5,Agree,0,Complain,2
5,Agree,12,Inform,2
5,Agree,13,Advise,2
5,Agree,14,Arrange,2
7,Flaunt,0,Complain,2
9,Oppose,0,Complain,2
11,Care,3,Thank,2
12,Inform,1,Praise,2
12,Inform,13,Advise,2
12,Inform,14,Arrange,2
12,Inform,16,Leave,2
15,Introduce,16,Leave,2
16,Leave,12,Inform,2
17,Prevent,2,Apologise,2
17,Prevent,3,Thank,2
19,Ask for help,1,Praise,2
0,Complain,3,Thank,1
0,Complain,5,Agree,1
0,Complain,9,Oppose,1
0,Complain,11,Care,1
0,Complain,14,Arrange,1
0,Complain,15,Introduce,1
0,Complain,16,Leave,1
0,Complain,18,Greet,1
1,Praise,4,Criticize,1
1,Praise,10,Comfort,1
2,Apologise,1,Praise,1
2,Apologise,11,Care,1
2,Apologise,18,Greet,1
3,Thank,4,Criticize,1
3,Thank,11,Care,1
3,Thank,14,Arrange,1
3,Thank,17,Prevent,1
3,Thank,18,Greet,1
4,Criticize,1,Praise,1
4,Criticize,2,Apologise,1
4,Criticize,3,Thank,1
4,Criticize,13,Advise,1
4,Criticize,18,Greet,1
5,Agree,1,Praise,1
5,Agree,2,Apologise,1
5,Agree,11,Care,1
5,Agree,18,Greet,1
6,Taunt,13,Advise,1
6,Taunt,14,Arrange,1
6,Taunt,15,Introduce,1
7,Flaunt,3,Thank,1
7,Flaunt,13,Advise,1
8,Joke,3,Thank,1
9,Oppose,15,Introduce,1
9,Oppose,18,Greet,1
10,Comfort,5,Agree,1
10,Comfort,12,Inform,1
10,Comfort,13,Advise,1
10,Comfort,14,Arrange,1
10,Comfort,15,Introduce,1
11,Care,1,Praise,1
12,Inform,4,Criticize,1
12,Inform,11,Care,1
12,Inform,15,Introduce,1
13,Advise,2,Apologise,1
13,Advise,3,Thank,1
13,Advise,4,Criticize,1
13,Advise,16,Leave,1
14,Arrange,3,Thank,1
14,Arrange,4,Criticize,1
14,Arrange,18,Greet,1
15,Introduce,13,Advise,1
16,Leave,1,Praise,1
16,Leave,4,Criticize,1
16,Leave,14,Arrange,1
17,Prevent,1,Praise,1
17,Prevent,4,Criticize,1
17,Prevent,14,Arrange,1
17,Prevent,18,Greet,1
18,Greet,0,Complain,1
18,Greet,1,Praise,1
18,Greet,2,Apologise,1
18,Greet,3,Thank,1
19,Ask for help,0,Complain,1
19,Ask for help,3,Thank,1
19,Ask for help,14,Arrange,1
